#Feature ID	taxonomy	Confidence
8c879df9d0162115ebbff207ce39ade1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Fictibacillus	0.9999229488509047
2910305a36e52364dc82fff53e16529a	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9983987060270161
b988a7611ee4a1f4a36fb32fa1ab02dd	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Kocuria	0.9830406399221179
51ea58284420ab3ca892da438245445b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9947521209754921
e04b49d9d5f7df61f2d258b753f002c6	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Terribacillus	0.9995123307940886
45f4508ec9f2b9372f59cc4d6f54f134	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.9984052632753952
f186a1c10e3c7a20e4d8f2ca31673121	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Erythrobacter	0.8278942272797848
ad3988166751e2c7bcd97c8571b322ba	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Saccharopolyspora; s__Saccharopolyspora_sp.	0.7700881086018397
74382506785f8c8c2fe7267daf708c1c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	0.9991797342375396
4f752150c1f333cac7dc94a551426e2d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Agromyces	0.9999650886585627
0fbbe4a89e6528412de12e28eb578aeb	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__Parvibaculaceae; g__Parvibaculum	0.9994002102965417
04d5911aea3926755144274b068f6768	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina	0.9512336780745944
